,user_id,transaction_id,purchase_time,purchase_type,purchase_amount_dollars
2661,user_6c3d4e71-119f-40bb-934d-90c0506361e3,ch_6d72657c-4124-4198-99c8-14db0486b1b0,1067-10-29 15:32:05+00:00,Subscription Create,39.0
2705,user_51ee084e-02c4-430a-bee2-4fbaa95cd165,ch_92be8417-4b4c-425f-b073-9c9bace9d6a4,1067-11-12 19:32:24+00:00,Credits package,20.0
2747,user_c8a2e0c4-65a0-4b83-ab66-98e7326f86d6,ch_5e16402c-4442-4004-bf0e-5f4afaf97012,1067-09-03 21:00:35+00:00,Credits package,5.0
2822,user_9ee5e108-87dc-417f-ba6d-db7b69a3158a,ch_3b998bc8-495e-4e90-b8c1-5534a923a56d,1067-08-30 21:11:30+00:00,Subscription Create,89.0
2931,user_0a9940f0-51b8-4470-9b5c-84bbe49d2010,ch_e01da7aa-bad9-4fe2-a2e3-5abbd71df580,1067-11-03 02:03:22+00:00,Subscription Create,35.0
3001,user_256b6cb5-0867-4cf9-8c98-f5e19b0d2a3f,ch_74b5639c-5794-457b-9434-39ee6171a874,1067-11-06 02:17:31+00:00,Subscription Create,89.0
3312,user_19497097-7661-4e55-8707-29295530a799,ch_c58f6980-bf14-44eb-bdfc-4be4b55edd6b,1067-08-30 03:00:26+00:00,Subscription Create,89.0
3317,user_c3dcc2c4-b265-43cc-87a2-4eaf62541020,ch_25963339-2d17-4d2c-9fed-a56fb79d04cb,1067-09-10 21:37:42+00:00,Subscription Create,89.0
3337,user_e18e2b98-7166-4210-aeb6-2fd6afaf4d68,ch_8f2d10a1-f58d-4c30-86a8-875dc00c481e,1067-10-24 17:04:00+00:00,Subscription Create,8.1
3414,user_2720c613-7353-4f70-8438-327b1eed026f,ch_a869bdff-3418-4016-9efa-3a0b2a2981e5,1067-11-03 17:38:41+00:00,Subscription Create,35.0
3481,user_c2d6a0f7-8e94-4e6d-8517-4aeac06ec718,ch_dd06290a-b6eb-4914-a838-9ecfeaf425cc,1067-11-03 20:59:27+00:00,Subscription Create,9.0
3497,user_ee97b85f-0370-46af-ab35-dd512cdfb021,ch_24b7ed47-0e12-4525-92dd-76e5aaddc5d6,1067-11-08 19:46:13+00:00,Subscription Create,29.0
3501,user_2cd89757-6887-4c84-a0a8-b27f3fd4baec,ch_8c387b7e-4a3c-46c7-909d-92fdad4150ea,1067-10-27 08:24:43+00:00,Subscription Create,35.0
3503,user_5ee71d7d-e64c-4e42-83b4-84c575c24152,ch_327cdb1b-5bea-45ae-ac6a-dbbf05c33765,1067-11-12 04:36:29+00:00,Subscription Update,35.62
3574,user_b70dcd81-97ec-4ce1-88d9-006a2a19a6a4,ch_baa52e76-3b25-4127-ab32-5d35bd40fa71,1067-10-29 19:36:51+00:00,Subscription Create,9.0
3595,user_a19b241e-7ac1-4911-8c7a-6a7061e89892,ch_ae027b24-fb88-4fe5-b17a-46fc83710a19,1067-11-07 21:23:30+00:00,Subscription Create,9.0
3615,user_aa383d16-0472-469b-8315-b6605a3edc48,ch_01c71cac-af77-4f41-8728-7cc0e6864906,1067-10-30 22:09:08+00:00,Subscription Create,29.0
3681,user_d92afe3d-0aaa-43b8-af60-1492aacf9dab,ch_537d3775-a39a-4d33-9b8c-ca4620e8e03c,1067-10-17 09:35:01+00:00,Subscription Create,35.0
3687,user_f95f1ac0-8009-455d-b8dc-a8c15c54f76c,ch_cfd9a68d-0bc8-4700-adfb-36074bddf993,1067-10-23 20:11:02+00:00,Subscription Create,35.0
3811,user_71c878dc-7da6-4af5-aa0e-4544504de064,ch_a5a803be-b77c-4f9b-8726-a34afbe719fd,1067-10-30 01:01:49+00:00,Subscription Create,9.0
3831,user_798652be-4bbf-48df-81b3-c12404e12cf0,ch_7de6aa6b-f7b1-4d9c-959d-f35671485904,1067-09-04 16:49:31+00:00,Subscription Update,20.84
3843,user_2f0de028-ddea-4e3d-906b-054e0bd1156e,ch_627aab8e-a185-4d6e-8b1d-44ab952b19fb,1067-09-22 14:02:55+00:00,Subscription Update,31.16
3876,user_01e35ebc-fb68-492e-94f3-e4fded33c030,ch_0034ddd9-8b89-4f67-915c-0871d49b7cab,1067-11-18 09:01:44+00:00,Credits package,40.0
4193,user_ec383595-1fa4-4676-98f2-580e767bbae8,ch_8602b8c0-0a05-4177-9aa0-3b37b35cab4f,1067-10-26 12:11:58+00:00,Subscription Create,35.0
4216,user_a59abcd5-46c4-4898-aae2-de892fa1f434,ch_c0764eea-e279-457b-865b-271b8a2f7655,1067-11-08 18:40:39+00:00,Subscription Create,35.0
4394,user_f7163085-f4ed-4377-831e-522b39b28a05,ch_b064c900-e665-4f56-995a-8cc8d6ebb0e3,1067-09-09 14:46:12+00:00,Subscription Create,35.0
4562,user_b590e090-32f4-4a76-a5c8-f8aeaf2e14cd,ch_f449095f-15a0-4eb3-a4e5-d641dd35a950,1067-11-03 00:50:33+00:00,Subscription Create,9.0
4631,user_106c36b1-f847-439e-9355-c2af41584a38,ch_9fdfd219-45c1-4501-a179-1152e86ed023,1067-09-22 20:20:36+00:00,Subscription Create,89.0
4669,user_03ee6bfe-94c3-4097-abfa-0218fd274517,ch_38ddb8e8-35e4-42df-a24e-8e390b98046a,1067-09-05 12:33:43+00:00,Subscription Create,9.0
4740,user_936b754c-4fb7-4567-b28b-6210a9542b71,ch_01160cd0-8367-4b95-8581-3e0580bf2325,1067-09-05 15:25:28+00:00,Subscription Create,29.0
4807,user_baf6926a-e82a-48b1-9dd8-aa034a6ecefe,ch_925ca159-069e-4774-bec4-5f72af1a4f14,1067-10-10 16:24:47+00:00,Subscription Create,35.0
4967,user_b883ba32-a767-43a0-b745-9fd853b2f134,ch_023e1749-3321-4208-93e9-74cd29e309be,1067-11-03 14:02:01+00:00,Subscription Create,35.0
4980,user_d90d23b3-f24b-4bf1-8a3c-8065b40d6a93,ch_b021d2d2-e063-4612-8df6-198efcc4dd16,1067-11-07 13:48:05+00:00,Subscription Create,35.0
5047,user_b3322a52-8b59-40b4-ab93-cb53ffe0712a,ch_b6de0171-c816-4f40-ac60-6ee8833269cc,1067-10-29 02:17:26+00:00,Upsell,39.0
5309,user_13884443-7aa3-4ad8-a42d-413f6159f913,ch_c0138e8e-3f4e-4127-81b7-10d6aceca794,1067-11-05 11:35:22+00:00,Subscription Create,29.0
5346,user_75bb229f-65b7-451f-b3ea-cc90f14a5e4f,ch_17c3511b-b61f-43dd-a0f1-646899cce812,1067-10-31 16:48:30+00:00,Subscription Create,35.0
5375,user_d84dedc3-00f2-4300-9bc1-a3cf42d5a131,ch_3e947747-9812-4afa-ab53-8c09f727a5d4,1067-11-08 14:38:36+00:00,Subscription Create,39.0
5489,user_95d61cf1-581c-450e-ba47-d21cce220515,ch_aca68bb8-68fd-4562-8b0b-180c0a4ceb37,1067-10-07 15:26:19+00:00,Subscription Update,64.84
5621,user_02bb5984-d38f-42d0-bbfc-4252a43594d3,ch_4948c7bd-bfbb-4435-b274-33fc5d68b8c8,1067-10-31 19:23:23+00:00,Subscription Create,35.0
5688,user_5dbf5118-b85e-4392-b782-42fd39d63a15,ch_15c4100f-e344-4c68-97d6-1ade1871d18b,1067-11-04 16:00:57+00:00,Subscription Create,35.0
5726,user_c560b067-066d-4763-a9cf-882b562f3214,ch_1a8fbbb1-99bd-4ef8-8e7d-27e1576ed0ad,1067-10-31 08:40:42+00:00,Subscription Create,35.0
5805,user_966b0f7e-bb9f-4cf8-9ef1-00bb80765310,ch_3ed4ed8e-aece-42ca-8808-67b90832c01f,1067-10-14 10:10:56+00:00,Subscription Create,39.0
5996,user_de858dda-9282-47a9-b2e8-f88200449da2,ch_261d81e0-7b8e-4037-b9fd-0ef6cb33f05c,1067-09-06 12:40:42+00:00,Subscription Create,35.0
6379,user_7846595e-b88a-4b4e-a423-1db479938525,ch_0106c5ff-cc33-4bf2-afee-79ba9ca1fdb2,1067-08-28 00:16:54+00:00,Subscription Create,35.0
6487,user_aaffbe08-2fee-4a66-8456-6a33046d26c7,ch_54f954cf-cc48-4ca1-b4e3-d5d5b3789fa7,1067-10-27 02:21:31+00:00,Subscription Create,9.0
6648,user_f96c7dc6-b1d0-446e-b21d-460ad050a90e,ch_b8c31a39-9c50-452f-8047-67620aa820d0,1067-09-10 01:10:51+00:00,Subscription Create,9.0
6670,user_04ff845c-d803-4f86-bf48-bfa3d52de9a2,ch_24ef5bc4-8eea-49d0-932c-976fcecc10fc,1067-10-01 21:57:04+00:00,Credits package,14.0
6735,user_90f3229e-c99a-4a35-910f-86d53de72acd,ch_b6a97627-73e3-4a89-a6c3-4d3ca786b5a2,1067-10-01 20:04:08+00:00,Subscription Create,35.0
6806,user_5a6ae21f-e6f3-49eb-a9cc-f737c79e346b,ch_c60b7742-b46b-48f2-ba3f-3c67603fd808,1067-11-01 05:43:32+00:00,Subscription Create,9.0
6814,user_fbb18e19-f9d7-4bb8-81ef-c5dbafcca877,ch_f3221b85-1bca-4f3f-9091-fca03193a361,1067-10-27 22:10:35+00:00,Subscription Create,9.0
6912,user_c0548fa2-a0be-4772-86ea-ea56fcf4ba8a,ch_5a7719c3-cf74-4c4a-9f07-5132da65190e,1067-11-05 07:03:42+00:00,Subscription Create,35.0
6945,user_6505fc7a-cfb6-4a26-82a5-bf503a60dbeb,ch_0737a0c0-9c7f-4d7a-9f07-88b10d097dbb,1067-11-08 19:45:25+00:00,Subscription Create,119.0
7020,user_fab5b510-9b3e-4287-916c-aec21a8a3092,ch_c90ef3a1-f30b-45fd-912a-0cb9246aad0e,1067-09-28 06:25:35+00:00,Subscription Create,9.0
7135,user_a8aedebe-07c0-4ae4-a1ac-4c32705b37d5,ch_aef7e6c4-331c-4a0f-be6a-18ca7e0274bb,1067-08-29 13:22:04+00:00,Subscription Create,35.0
7166,user_04914bdb-9966-4b42-bccd-c2f4302f1ee9,ch_d1809fdf-94a8-47f0-b9a2-6cea0cdd6ab5,1067-10-18 13:30:54+00:00,Subscription Create,35.0
7249,user_60590072-5cf3-47d0-835b-c29baa0b691f,ch_16f2c0a1-221b-4160-b58a-925b704b2300,1067-09-05 15:15:54+00:00,Upsell,49.0
7269,user_77b7599d-4a86-4184-9b21-0d90f762859f,ch_81d94e18-8c6f-4518-b1f1-6d1eb79a30a6,1067-09-21 02:20:39+00:00,Subscription Create,89.0
7291,user_a586451c-274f-4651-b9cf-a99b2c1397a7,ch_9e0c6b2f-1c26-464e-85e9-5fd2f73d0a24,1067-10-22 03:21:40+00:00,Subscription Create,89.0
7613,user_5f6fbfaa-403d-4ed0-a923-e39577122784,ch_ebc72759-94b0-49be-b097-acdf62da33e7,1067-10-28 18:24:02+00:00,Subscription Create,89.0
7631,user_59f69338-b62b-4ec3-aac4-1b68b2bb2646,ch_90c627df-136a-4451-b7a9-5107a43f5d85,1067-09-14 00:17:53+00:00,Subscription Create,9.0
7845,user_79512066-7693-4e11-8f31-a7e92613dd29,ch_348ddc1f-072f-4009-acf6-77b1181ba45c,1067-09-02 04:32:15+00:00,Subscription Update,20.0
7901,user_890385a7-e3fd-4796-8a41-f9631d8d9808,ch_36316cf4-8b37-49a8-8ea3-85917335a297,1067-09-10 17:56:59+00:00,Subscription Create,35.0
7919,user_9544ceb1-97c8-4dbb-86bc-935d9af672d4,ch_b59fd7a5-63ef-4370-b1fe-87f9eeaacf83,1067-09-03 18:03:03+00:00,Subscription Create,35.0
8097,user_b9049a79-4ddf-4033-8ad5-e821c14c0b9f,ch_c1882bd4-4556-4979-ad66-676651882b59,1067-11-05 17:27:21+00:00,Subscription Create,9.0
8140,user_cef60f6e-2022-4054-af8a-483114c7707e,ch_88ed201c-251c-4262-8dea-54b9a23cf792,1067-11-04 12:20:50+00:00,Subscription Create,89.0
8194,user_0a57c36f-c6c8-489c-9a94-9b053a2d8bd4,ch_2253463b-9c76-4378-a4de-51d3ed86638c,1067-10-12 07:58:26+00:00,Subscription Create,9.0
8223,user_36b62749-8a2a-4f27-a9b6-fb0ef79dd3df,ch_866a95e9-1927-41c4-9ea2-c4da44d6c80e,1067-09-11 07:14:17+00:00,Subscription Create,29.0
8257,user_f112cca2-2ac3-4db9-8764-5e7492e5f9a2,ch_adf9fd54-62b0-40a3-8afd-cb74ac499628,1067-09-10 04:49:51+00:00,Subscription Create,35.0
8266,user_5209cd9e-4625-4219-8cac-227ba6768d5d,ch_02fabfd0-046a-47cc-b38e-20654969e6b8,1067-09-03 12:21:54+00:00,Subscription Create,35.0
8387,user_37c974ed-6242-4ae5-b0ea-a1144eb172cb,ch_80b7bc02-2c8a-42c1-9f02-9541f47969c9,1067-11-08 14:33:07+00:00,Subscription Create,9.0
8594,user_ff7774d0-976d-4184-951e-1293d1063139,ch_7b253e4b-8f8b-44d8-b61e-cc02458317cb,1067-09-17 16:46:40+00:00,Subscription Create,29.0
8711,user_36f509ec-4ddf-4f3b-8081-3106fb7958ac,ch_0da728f1-5de7-463d-ae1d-6eb2d28839b2,1067-09-19 23:43:02+00:00,Subscription Create,35.0
8862,user_673e322b-4ab2-4fd1-9853-305ed40e6cda,ch_6cd04090-4e6d-4ba2-9155-937381938b4a,1067-11-05 16:08:47+00:00,Subscription Create,9.0
8864,user_31994ef8-5ff3-4178-90bc-2db1bafa6848,ch_7ffd9a9e-f26f-464d-9078-5c8a632cbdc2,1067-11-04 01:57:07+00:00,Subscription Create,35.0
8905,user_18a516ae-d613-41c2-970e-31a29c02255a,ch_0804fee5-b736-4e3e-846e-f8c1b24ebe59,1067-09-17 19:59:28+00:00,Subscription Update,26.0
8973,user_976cc215-f534-43c7-9e03-335590e4e41f,ch_3758ab61-2e86-459b-b7f1-897eda9d31b6,1067-09-24 14:08:03+00:00,Subscription Update,80.0
8978,user_7773fc1c-c6a6-4852-b549-1629b5c712c5,ch_c55cc74e-94a4-4e9d-8923-fc20493a2ccd,1067-11-04 15:07:13+00:00,Subscription Create,35.0
8984,user_b9e422a3-9300-4f87-8ac6-3c5b619cff2a,ch_8141d32f-4db5-4403-a96a-444d8d954b70,1067-09-11 19:08:19+00:00,Subscription Update,11.8
8998,user_a922d339-507c-4b2c-a2f4-bdad3b43646a,ch_4a49621b-7b31-4d88-99a8-f524b460839c,1067-09-19 20:12:12+00:00,Subscription Create,9.0
9016,user_8c77ff38-621f-4594-b22e-7bbe1d8d1501,ch_e5de481d-c666-46ea-9800-639e3364df7d,1067-08-27 16:58:52+00:00,Subscription Create,9.0
9017,user_60e6fd99-68ea-42e6-9fe5-b75d4386d4ef,ch_2dee6eb2-21f2-4fd5-92e9-1fdcfd210073,1067-09-30 17:43:58+00:00,Subscription Create,9.0
9233,user_d04076c3-cb80-4188-bb00-8bbf425a1a85,ch_0389221f-b9bf-4786-8f54-9ed7819d2e1c,1067-10-23 02:03:54+00:00,Subscription Create,35.0
9249,user_1fa8ae80-0599-4286-ad19-962a6704bec4,ch_fbd7b986-07bf-4755-8141-0bd09d8cab85,1067-10-29 02:47:41+00:00,Subscription Create,35.0
9282,user_339c3fd1-549d-4888-bcb1-0e2a6d72baa8,ch_7117c655-2416-4f1f-9635-9e4553448b77,1067-11-08 07:40:24+00:00,Subscription Create,35.0
9283,user_9aa9c710-6de7-4998-8807-3b2d97780750,ch_5eab12bc-d7d1-4855-a6e5-3fbff918b941,1067-11-07 12:42:14+00:00,Subscription Create,35.0
9335,user_505467b8-47a5-451b-8204-418c4d4e7849,ch_ec770ada-0780-4327-b8c7-4a9f699b68b0,1067-11-05 16:15:33+00:00,Subscription Update,26.0
9353,user_d2877e62-3a3d-4a6b-ae17-782b4a5d387c,ch_4f4c5c91-683c-4906-b6ba-40665b35196d,1067-10-22 01:12:25+00:00,Upsell,39.0
9447,user_e34612c3-c2e1-413a-ab66-d1ee720223b1,ch_5ea8ad26-c93b-4e8d-be65-365e0bfcd498,1067-11-09 17:04:28+00:00,Subscription Create,9.0
9455,user_ba821808-b600-4cd7-a61e-1a49c07ec94c,ch_e52dd427-ed35-4532-9b54-80988519f506,1067-10-12 11:08:18+00:00,Credits package,20.0
9459,user_f66b5ca0-ee8b-44b2-94c6-bc7d83e07731,ch_e1528583-3dcb-4825-b5c9-e92494f8064b,1067-11-08 20:57:04+00:00,Subscription Update,20.53
9468,user_7cccc532-9eac-4d43-954c-23b494bc9e24,ch_e35c6711-4e73-4017-93ec-35be10a0c45c,1067-10-12 07:59:32+00:00,Subscription Update,26.24
9513,user_5f8b1fe3-f347-42e7-b72a-103882e82b48,ch_f0d865ae-c026-4964-ba68-237d8baeef68,1067-09-04 13:44:03+00:00,Subscription Create,35.0
9518,user_06916020-2f69-4432-8de6-65a5aa2c8e3c,ch_17ef7216-0ac4-46a7-a5eb-7cdf131a4704,1067-09-05 21:42:04+00:00,Subscription Create,35.0
9571,user_26963d42-dc23-41f8-898f-d15000b5f188,ch_1a7acd15-0d93-4d50-8b59-a2c427e51556,1067-10-15 21:08:57+00:00,Subscription Create,35.0
9607,user_bdda5eea-3bad-4b6d-bc51-c5623080084f,ch_f3973043-ce89-401d-8c0e-3c1d43b23a96,1067-11-07 10:56:14+00:00,Subscription Create,35.0
9770,user_f84969df-71d9-42ad-9df0-2af0e8ce2645,ch_6498c7e8-a1a6-439b-85f5-4c6ddc68ebea,1067-09-22 13:30:58+00:00,Subscription Create,9.0
9820,user_6697bcc1-8a21-446c-b0b6-716213538504,ch_1f01d08b-535b-40fd-a443-d2b44dc27fb9,1067-09-11 09:19:52+00:00,Subscription Update,20.0
9826,user_3ca2340d-20f1-49c4-8375-2e68880aa772,ch_9266b569-d0cf-485f-8933-7b9303674e0c,1067-09-19 21:16:07+00:00,Subscription Update,26.0
9886,user_88e96374-b3f0-4ea4-8dc1-437af663274d,ch_d38075e8-b0b3-4787-99ea-77736f47add1,1067-09-01 14:22:02+00:00,Subscription Create,35.0
9957,user_1bb92a93-11b6-45fb-80da-250ebe465323,ch_8a2983bb-1062-4912-a00d-02400beb2ff5,1067-10-01 15:19:52+00:00,Subscription Create,89.0
9970,user_392c5a34-b5f6-4a43-9455-64c2a33d97ad,ch_e31fb870-7e49-4507-8910-9103ba505769,1067-10-08 02:16:57+00:00,Subscription Create,150.0
9981,user_c71b4aa1-4c10-496d-a889-0e7271f3daff,ch_075d0766-cda7-4002-944b-14799c2c5a74,1067-10-28 20:26:36+00:00,Subscription Create,9.0
